ID,Family,Structural Class,MSA confidence,PLM confidence 
Junin_GPC,Arena,Class I Fusion,5.429864253,0.6110995443
Lassa_GPC,Arena,Class I Fusion,259.487088,0.5495157242
Lujo_GPC,Arena,Class I Fusion,1,0.6031622636
MERS_Spike,Corona,Class I Fusion,8.030447296,0.6734676612
SARS2_Spike,Corona,Class I Fusion,156.5805375,0.6707431392
Ebola_GP,Filo,Class I Fusion,84.6436558,0.7025574132
Marburg_GP,Filo,Class I Fusion,15.42540793,0.5691607124
SEBOV_GP,Filo,Class I Fusion,2.50952381,0.6784529686
DENV_E,Flavi,Class II Fusion,106.6810829,0.8955860138
TBE_E,Flavi,Class II Fusion,98.32147102,0.8142902224
WNV_E,Flavi,Class II Fusion,11.33913376,0.8247903523
YFV_E,Flavi,Class II Fusion,34.55835727,0.8347169224
Zika_E,Flavi,Class II Fusion,50.28173281,0.899658291
HTNV_Gc,Hanta,Class II Fusion,12.87675253,0.6864263635
HTNV_Gn,Hanta,Class II Accompanying Protein,11.90909733,0.5343259008
SNV_Gc,Hanta,Class II Fusion,13,0.7131032693
HEV3_orf2,Hepe,Capsid,128.2397848,0.6669596371
IAV_H1,Orthomyxo,Class I Fusion,556.1303867,0.9046774287
IAV_H10,Orthomyxo,Class I Fusion,164.1280473,0.8242796346
IAV_H2,Orthomyxo,Class I Fusion,184.1813392,0.9065117083
IAV_H3,Orthomyxo,Class I Fusion,349.1561354,0.8816242594
IAV_H5,Orthomyxo,Class I Fusion,637.8014482,0.9019884185
IAV_H6,Orthomyxo,Class I Fusion,226.4395682,0.8833631967
IAV_H7,Orthomyxo,Class I Fusion,238.1619474,0.8671185845
NiV_F,Paramyxo,Class I Fusion,2,0.694973268
NiV_G,Paramyxo,Non-fusion Receptor Binding Protein,9,0.7346609266
OROV_G1,Peribunya,Class II Fusion,8.082823307,0.6219457827
OROV_G2,Peribunya,Class II Accompanying Protein,8.305623532,0.5959128832
RVF_Gn,Phenui,Class II Accompanying Protein,28.7124908,0.5682471426
SFTS_Gc,Phenui,Class II Fusion,8.799521243,0.7259703686
SFTS_Gn,Phenui,Class II Accompanying Protein,34.97403487,0.5787737495
hPBV_capsid,Picobir,Capsid,2,0.5085569181
hPBV_capsid,Picobirna,Capsid,2,0.5085569181
EV-D68_VP1,Picorna,Capsid,84.6798195,0.791230528
EV71_VP1,Picorna,Capsid,269.4812678,0.846699426
polio_capsid,Picorna,Capsid,12.5035128,0.8382845176
hMPV_F,Pneumo,Class I Fusion,38.63115167,0.7357785576
hMPV_G,Pneumo,Non-fusion Receptor Binding Protein,2,0.4845307501
HIV1_Env,Retro,Class I Fusion,19.58928571,0.8689442183
VSV_GP,Rhabdo,Class III Fusion,16.56354618,0.6122607181
CHIKV_E1,Toga,Class II Fusion,32.47006809,0.8429781638
CHIKV_E2,Toga,Class II Accompanying Protein,49.25095904,0.7703426261
VEE_E1,Toga,Class II Fusion,10.84060004,0.7800115535
VEE_E2,Toga,Class II Accompanying Protein,15.27422985,0.7420656556
