DMS ID,bitscore,database,Num_Seq,Prop_90,neff_L,Neff90,PSSM_Spearman,EVH_Spearman,EVE_Spearman,Assay,Type,Year,Antigen
HIV1_BF520_ENV_Haddox,0.1,uniref90,22856,0.001181309065,20.50399061,18.0984127,0.493087513,0.4076552159,0.4756174217,fitness,Eukaryotic virus,2018,TRUE
IAV_H1_HA_Doud,0.5,uniref90,1551,0.003223726628,2.056283186,5,0.3979960234,0.3889753909,0.4906634453,fitness,Eukaryotic virus,2016,TRUE
IAV_H1_HA_Wu,0.5,uniref90,1551,0.003223726628,2.056283186,5,0.3795681526,0.3784761675,0.4218666595,fitness,Eukaryotic virus,2014,TRUE
IAV_PB2_Soh,0.5,uniref100,29525,0.913530906,2.688801054,1911.674655,0.4073263777,0.2429702075,0.419351542,fitness,Eukaryotic virus,2019,FALSE
IAV_H3_HA_Lee,0.5,uniref100,72624,0.1585839392,25.04363958,684.221237,0.3968264059,0.379501184,0.4085162491,fitness,Eukaryotic virus,2018,TRUE
AAV2_CAPSD_Sinai,0.5,uniref_bfd_mgnify,1604,0.08167082294,1.011428571,45.4270332,0.2903067888,0.4769361686,0.5354770046,fitness,Eukaryotic virus,2024,TRUE
HIV1_HV1B9_ENV_DuenasDecamp,0.3,uniref90,22868,8.75E-05,20.57350528,1,0.3810615042,0.3805118733,0.3840452768,fitness,Eukaryotic virus,2016,TRUE
LAMBDA_HCP_Tsuboyama,0.5,uniref100,2307,0.06415257911,34.18181818,104,0.4190065317,0.3250974095,0.4436183793,stability,Phage,2023,FALSE
IAV_H3_NP_Doud,0.5,uniref100,17696,0.7775203436,3.327108434,1011.864795,0.373560844,0.2841541244,0.348652084,fitness,Eukaryotic virus,2015,FALSE
IAV_H1_NP_Doud,0.5,uniref100,17696,0.8598553345,3.326104418,1284.446585,0.3857677205,0.3063179048,0.3685085645,fitness,Eukaryotic virus,2015,FALSE
IAV_NA_Jiang,0.03,uniref90,835,0.007185628743,1.637527594,5,0.4522267469,0.4757349341,0.5373673436,binding,Eukaryotic virus,2016,FALSE
IAV_PA_Wu,0.5,uniref100,30053,0.8906265597,2.549860335,1643.41884,0.5149915051,0.4966275542,0.5493819035,fitness,Eukaryotic virus,2015,FALSE
SARS2_PLPRO_Wu_abundance,0.3,uniref100,8297,0.3954441364,2.261708861,76.83205253,0.344684329,0.3794343913,0.4141615247,abundance,Eukaryotic virus,2024,FALSE
SARS2_PLPRO_Wu_activity,0.3,uniref100,8297,0.3954441364,2.261708861,76.83205253,0.3654624801,0.4136462933,0.4447287862,activity,Eukaryotic virus,2024,FALSE
CVB3_POLG_Mattenberger,0.04,uniref90,2273,0.05455345359,0.9486956522,94.81446609,0.1654157668,0.3563465896,0.3754445136,fitness,Eukaryotic virus,2021,FALSE
DENV_POLG_Suphatrakul,0.1,uniref100,11691,0.1883500128,1.029444444,88.04823421,0.4268238378,0.4459037993,0.5389074541,fitness,Eukaryotic virus,2023,FALSE
PESV_POLG_Tsuboyama,0.5,uniref90,172,0.03488372093,2.471698113,2,0.3925067964,0.3818613477,0.3616609751,stability,Eukaryotic virus,2023,FALSE
SARS2_PRD0038_RBD_Starr,0.1,uniref_bfd_mgnify,6021,0.0008304268394,1.243789809,3,0.1993189376,0.3764592151,0.432362199,expression,Eukaryotic virus,2023,TRUE
HIV1_BG505_ENV_Haddox,0.1,uniref100,93597,0.0004487323312,48.41988372,8.45,0.4858169202,0.3620469769,0.4957553275,fitness,Eukaryotic virus,2018,TRUE
SARS2_MRPO_Flynn,0.3,uniref100,7337,0.5007496252,1.155882353,69.04615003,0.5804935452,0.563356703,0.6106307704,fitness,Eukaryotic virus,2022,FALSE
IAV_RDRP_Li,0.5,uniref100,26894,0.9058526065,2.082826948,1461.578806,0.4808613962,0.3743201642,0.4636691216,fitness,Eukaryotic virus,2023,FALSE
BP434_RPC1_Tsuboyama,0.5,uniref100,918385,6.32E-05,10235.8918,21,0.6053073148,0.5527121155,0.4972539705,stability,Phage,2023,FALSE
RmYN02_RBD_Starr,0.5,uniref_bfd_mgnify,6004,0.0003331112592,1.269437653,2,0.2257782274,0.3458027481,0.3959161763,expression,Eukaryotic virus,2023,TRUE
RsYN04_RBD_Starr,0.04,uniref_bfd_mgnify,5979,0.0005017561465,1.008785942,1,0.1714589916,0.3156526434,0.3272657246,expression,Eukaryotic virus,2023,TRUE
SARS2_XBB15_RBD_Taylor,0.1,uniref100,6103,0.1790922497,1.217825739,154.5803881,0.2224026226,0.3336818288,0.4082732114,expression,Eukaryotic virus,2023,TRUE
SARS2_RBD_Starr_binding,0.1,uniref100,6032,0.1666114058,1.100157109,135.9171421,0.1501974321,0.211052699,0.2289924138,binding,Eukaryotic virus,2020,TRUE
SARS2_RBD_Starr_expression,0.1,uniref100,6032,0.1666114058,1.100157109,135.9171421,0.1785275308,0.341081036,0.4339152156,expression,Eukaryotic virus,2020,TRUE
SARS2_BA1_SPIKE_Dadonaite,0.05,uniref100,6039,0.1634376552,1.336989592,141.1871194,0.313183249,0.3774749139,0.4253557197,fitness,Eukaryotic virus,2023,TRUE
SARS2_DELTA_SPIKE_Dadonaite,0.1,uniref100,6096,0.1656824147,1.39944,156.0309372,0.2354182398,0.30068387,0.3474824358,fitness,Eukaryotic virus,2023,TRUE
BPP22_COAT_Tsuboyama,0.3,uniref100,97777,0.001851151089,1308.1475,10,0.2379175634,0.216593945,0.3506457688,stability,Phage,2023,FALSE
BPT7_RPOL_Tsuboyama,0.5,uniref100,193,0.1191709845,2.875,12,0.3683097108,0.3417735977,0.3714022954,stability,Phage,2023,FALSE
CVB3_2A_Alvarez,0.5,uniref90,740,0.2405405405,4.199333333,143.1469697,0.5349339698,0.3736461264,0.5380389505,fitness,Eukaryotic virus,2024,FALSE
CVB3_2B_Alvarez,0.5,uniref90,655,0.3221374046,5.070707071,150,0.6018361559,0.5534725408,0.5624730967,fitness,Eukaryotic virus,2024,FALSE
CVB3_2C_Alvarez,0.5,uniref90,1045,0.1425837321,2.394224924,55.01653681,0.4472593412,0.4980052369,0.5503571173,fitness,Eukaryotic virus,2024,FALSE
CVB3_3A_Alvarez,0.5,uniref90,506,0.2826086957,4.382022472,91,0.4197524882,0.455571398,0.4994740718,fitness,Eukaryotic virus,2024,FALSE
CVB3_3B_Alvarez,0.5,uniref90,1384,0.09031791908,38.72727273,7,0.3458993637,0.3385473411,0.3561526983,fitness,Eukaryotic virus,2024,FALSE
CVB3_3C_Alvarez,0.5,uniref90,599,0.2404006678,2.345901639,61.67605207,0.5268257931,0.5070200391,0.5566571095,fitness,Eukaryotic virus,2024,FALSE
CVB3_3D_Alvarez,0.5,uniref100,13390,0.07453323376,10.56666667,457.6759631,0.4323551058,0.4985925899,0.5677346545,fitness,Eukaryotic virus,2024,FALSE
CVB3_VP1_Alvarez,0.5,uniref100,20813,0.0115312545,18.65302491,59.99282569,0.3981948659,0.3639893609,0.4411288684,fitness,Eukaryotic virus,2024,TRUE
CVB3_VP3_Alvarez,0.5,uniref100,10964,0.008482305728,9.184033613,4.915794246,0.3824544351,0.4415835277,0.4556869698,fitness,Eukaryotic virus,2024,TRUE
EV_CAPSD_Bakhache,0.5,uniref100,8541,0.1460016392,2.147447796,26.13026476,0.1986265852,0.2469871765,0.2506288707,fitness,Eukaryotic virus,2024,TRUE
EV_REP_Bakhache,0.5,uniref100,9519,0.2796512239,2.202854996,329.219024,0.3221427533,0.3699705087,0.4409670066,fitness,Eukaryotic virus,2024,FALSE
IAV_H5_HA_Dadonaite,0.5,uniref100,71695,0.05303019736,24.02363316,628.6260802,0.4397672071,0.3566898351,0.4321901387,fitness,Eukaryotic virus,2024,TRUE
LASSA_GP_Carr,0.5,uniref_bfd_mgnify,1105,0.5104072398,1.10610998,276.0586031,0.5110520587,0.3166958164,0.4995419579,fitness,Eukaryotic virus,2024,TRUE
NIPAH_F_Larsen,0.3,uniref_bfd_mgnify,3283,0.008528784648,1.482392027,9,0.3123727518,0.2908046079,0.3634736127,fitness,Eukaryotic virus,2025,TRUE
